Intervalo;Cantidad Agentes Únicos;Cantidad Agentes Simultáneos;Grupo;Login Id;Agente;LogIn;Internas Entrantes No Atendidas;Internas Entrantes Atendidas;Internas Salientes No Atendidas;Internas Salientes Atendidas;Entrantes No Atendidas;Entrantes Atendidas;Salientes No Atendidas;Salientes Atendidas;Discador No Atendidas;Discador Atendidas;Transfer In;Transfer Out;Unstaffed;Avail;Preview;Dial;Ring;Connect;Hold;ACW;Not Ready;Break;Lunch;Coaching;Administrativo;Baño;Llamada_Manual;Tipo de Break 6;Tipo de Break 7;Tipo de Break 8;Tipo de Break 9;Auxiliar Total;Auxiliar %;Tiempo Real de Logueo;Utilización;Connect % Real;Ring % Real;Avail % Real;AHT;ATT;Avail Count;Hold Count;Not Ready Count;Avail Max;Hold Max;Not Ready Max;Talking Time Internas Entrantes;Talking Time Internas Salientes;Tipificación Otro;Tipificación Exitoso;Tipificación No Exitoso;Tipificación No Efectivo;Tipificación Neutro;FechaRango;CE;%CE;Exitos / CE;Exitos por Hora Real;idAgente;idGrupo
19/2/2025 10:00:00;;;Mendoza1;mza40;MZA 40;1800;"0";"0";"0";"0";"0";"0";"0";1;"0";18;"0";"0";"0";708;"0";6;3;440;"0";304;"0";340;"0";"0";"0";"0";"0";"0";"0";"0";"0";340;"0,188726666666667";1460;"0,511302534013745";"0,301412320275671";"0,00188318500683425";"0,484859192545053";39,5789473684211;23,1578947368421;20;"0";"0";168;"0";"0";"0";"0";"0";3;15;"0";"0";;18;1;"0,166666666666667";7,3972602739726;2833;
19/2/2025 10:00:00;;;Mendoza1;mza6;MZA 6;1548;"0";"0";"0";"0";"0";"0";"0";1;"0";9;"0";"0";"0";316;"0";3;23;396;"0";316;38;457;"0";"0";"0";"0";"0";"0";"0";"0";"0";457;"0,295010264473295";1053;"0,697393596464657";"0,375827646355602";"0,0218708487119909";"0,299728335439739";73,7;39,6;10;"0";1;115;"0";38;"0";"0";"0";"0";9;"0";"0";;9;1;"0";"0";2217;
19/2/2025 10:00:00;;;Mendoza1;mza7;MZA 7;1013;"0";"0";"0";"0";"0";"0";"0";"0";"0";10;"0";"0";"0";280;"0";2;1;277;"0";180;7;265;"0";"0";"0";"0";"0";"0";"0";"0";"0";265;"0,261539767891454";741;"0,618877491132372";"0,374082374163326";"0,00141396342853751";"0,378298629615788";46,1;27,7;12;"0";1;57;"0";7;"0";"0";"0";5;5;"0";"0";;10;1;"0,5";24,2914979757085;2218;
19/2/2025 10:00:00;;;Mendoza1;mza8;MZA 8;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";18;"0";"0";"0";734;"0";4;2;258;"0";209;"0";593;"0";"0";"0";"0";"0";"0";"0";"0";"0";593;"0,329286111111111";1207;"0,388517210103662";"0,214067929279333";"0,00148515056511097";"0,608011364342305";26,2777777777778;14,3333333333333;22;"0";"0";153;"0";"0";"0";"0";"0";"0";18;"0";"0";;18;1;"0";"0";2219;
19/2/2025 10:00:00;;;Mendoza1;mza9;MZA 9;853;"0";"0";"0";"0";"0";"0";"0";"0";"0";6;"0";"0";"0";132;"0";2;1;85;"0";417;121;97;"0";"0";"0";"0";"0";"0";"0";"0";"0";97;"0,114057031444979";635;"0,790553115110292";"0,133624612284099";"0,000984050509344544";"0,207085163667281";84;14,1666666666667;7;"0";1;43;"0";121;"0";"0";"0";"0";4;"0";"0";;4;1;"0";"0";2220;
19/2/2025 10:30:00;;;Mendoza1;mza1;MZA 1;1773;"0";"0";"0";"0";"0";"0";"0";1;"0";13;"0";"0";27;176;"0";4;14;994;"0";358;61;166;"0";"0";"0";"0";"0";"0";"0";"0";"0";166;"0,0933985757597123";1546;"0,883642890638897";"0,64266748597209";"0,00920813052829029";"0,113751071295742";97,8571428571429;71;15;"0";2;38;"0";53;"0";"0";"0";1;12;"0";"0";;13;1;"0,0769230769230769";2,32858990944373;2212;
19/2/2025 10:30:00;;;Mendoza1;mza2;MZA 2;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";22;"0";"0";"0";338;"0";5;2;460;"0";552;2;441;"0";"0";"0";"0";"0";"0";"0";"0";"0";441;"0,244961111111111";1357;"0,747170689805054";"0,338949961617742";"0,00173788380416061";"0,249342492032551";46,3181818181818;20,9090909090909;27;"0";1;40;"0";2;"0";"0";"0";14;8;"0";"0";;22;1;"0,636363636363636";37,1407516580693;2213;
19/2/2025 10:30:00;;;Mendoza1;mza28;MZA 28;1785;"0";"0";"0";"0";"0";"0";"0";"0";"0";21;"0";"0";15;244;"0";4;2;733;"0";471;41;289;"0";"0";"0";"0";"0";"0";"0";"0";"0";289;"0,162057575120824";1454;"0,829122943119155";"0,503855512502562";"0,00148347136425721";"0,167963758457575";57,6190476190476;34,9047619047619;25;"0";2;35;"0";29;"0";"0";"0";5;14;"0";"0";;19;1;"0,263157894736842";12,3796423658872;2881;
19/2/2025 10:30:00;;;Mendoza1;mza3;MZA 3;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";18;"0";"0";"0";349;"0";4;2;682;"0";763;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";1800;"0,803893333333333";"0,378956666666667";"0,00112277777777778";"0,193657777777778";80,6111111111111;37,8888888888889;20;"0";"0";46;"0";"0";"0";"0";"0";15;1;"0";"0";;16;1;"0,9375";30;2214;
19/2/2025 10:30:00;;;Mendoza1;mza32;MZA 32;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";36;"0";"0";"0";316;"0";8;4;647;"0";568;"0";128;"0";87;43;"0";"0";"0";"0";"0";"0";258;"0,143076111111111";1542;"0,790051365899863";"0,41952059790089";"0,00258547530799766";"0,204884006942144";34,0555555555556;17,9722222222222;39;"0";"0";35;"0";"0";"0";"0";"0";34;1;"0";"0";;35;1;"0,971428571428571";79,3774319066148;2580;
